Country name,Year,Sector,AbsMagnitude,PropMagnitude (Int),Recovery (Int)
Cook Islands,2013,Fisheries,368.562077678,0.0823081907199338,NA
Cuba,1991,Livestock,337699,0.23504449293368,NA
Cuba,2006,Crops,1469850,0.164288322569115,NA
Cote d'Ivoire,2004,Fisheries,7176,0.596409574468085,1
Democratic People's Republic of Korea,1992,Livestock,49880,0.126037573751437,9
Democratic People's Republic of Korea,1995,Crops,6800710,0.381624777432169,NA
Democratic People's Republic of Korea,1996,Crops,8298824,0.465692091259404,NA
Democratic People's Republic of Korea,1997,Livestock,85561,0.279771110929453,2
Democratic People's Republic of Korea,1998,Crops,4038871,0.232777274310643,NA
Democratic Republic of the Congo,1995,Crops,3396734,0.123977258082065,NA
Dominica,1979,Crops,11248,0.108613364233295,2
Dominica,1983,Fisheries,214.929071625,0.161763038143953,10
Dominica,2005,Livestock,1191,0.156937672947687,2
Dominica,2010,Aquaculture,13,0.541666666666667,NA
Dominican Republic,2003,Livestock,53821,0.0753471546547912,1
Dominican Republic,2008,Crops,129906,0.0379317161367032,1
Ecuador,1998,Crops,412931,0.0411332848483786,1
Ecuador,2000,Aquaculture,47569,0.436891821767902,4
El Salvador,2013,Aquaculture,1077.71,0.247424644891418,NA
Faroe Islands,2006,Aquaculture,27503,0.596892158777698,2
Fiji,1984,Livestock,14788,0.22783366971205,2
"Fiji, Republic of",1994,Fisheries,3442.68585682299,0.0338997875793183,1
Finland,1970,Livestock,325600,0.0842890056693159,NA
Former USSR,1992,Fisheries,4947742.35899382,0.381533776359149,NA
Former Yugoslav SFR,1991,Fisheries,9174,0.604586793198893,1
French Guiana,1992,Aquaculture,71,1,NA
French Polynesia,1999,Livestock,169,0.0462253829321663,12
French Polynesia,2006,Crops,204,0.00655169091434626,1
Gambia,2011,Crops,94155,0.211187995558895,1
Germany,1973,Fisheries,98731.965858086,0.0971682384483851,NA
Germany,1987,Livestock,802351,0.0196367988477214,1
Greece,1998,Fisheries,78556.767281827,0.291175096364222,4
Greece,2001,Fisheries,75954.016340829,0.295974943050183,1
Greenland,1972,Livestock,166,0.334004024144869,7
Grenada,1979,Livestock,554,0.224928948436866,NA
Grenada,1982,Fisheries,469.591501774,0.155144096004867,1
Guadeloupe,1980,Crops,96781,0.43034625663099,2
Guadeloupe,1990,Livestock,3340,0.32354935580742,NA
Guadeloupe,2005,Aquaculture,9.639,0.48195,NA
Guam,1989,Livestock,301,0.533687943262411,NA
Guam,2002,Crops,1102,0.100851102772948,2
Guam,2003,Aquaculture,70.5,0.3058568329718,NA
Guatemala,2013,Aquaculture,696,0.0392267373048526,2
Guinea,2008,Fisheries,7556.99382691699,0.0529204750336491,1
Guyana,1995,Livestock,73,0.0028660044756782,1
Guyana,2008,Aquaculture,316,0.519736842105263,NA
Guyana,2009,Aquaculture,97.04,0.159605263157895,NA
Haiti,1976,Fisheries,1469.03235865,0.0764409951591676,1
Honduras,2009,Aquaculture,18222,0.387043330501274,2
Hungary,1984,Aquaculture,6097,0.270137350465219,NA
Hungary,1991,Fisheries,10492,0.557758758173409,NA
Hungary,1991,Livestock,576871,0.127815165857876,NA
Iceland,2007,Aquaculture,1391,0.223849372384937,5
India,2002,Crops,14092939,0.0344282285393666,1
Indonesia,1998,Livestock,242122,0.0919363817037024,3
Iran (Islamic Republic of),2008,Crops,6510785,0.102203438242848,1
Iraq,1991,Livestock,334354,0.399428967362737,9
Iraq,2003,Livestock,267805,0.379586884511642,NA
Iraq,2009,Crops,2134230,0.206014889970077,1
Iraq,2013,Aquaculture,4672,0.249412769592142,NA
Italy,2005,Fisheries,195668.544778587,0.321883594456978,NA
Jamaica,2001,Fisheries,5129.558534619,0.167846346177393,NA
Jamaica,2003,Aquaculture,1181,0.284578313253012,1
Jordan,2004,Aquaculture,28,0.054368932038835,1
Kenya,2001,Fisheries,22446.60028676,0.10594239079958,10
Kiribati,1989,Crops,2800,0.153846153846154,1
Kiribati,2000,Fisheries,14797.079203522,0.187565906207094,4
Kiribati,2007,Aquaculture,3895,0.777134876296887,5
"Korea, Dem. People's Rep",1983,Fisheries,184107.88678,0.192473593470504,4
"Korea, Dem. People's Rep",1994,Aquaculture,272961,0.250422935779817,NA
Kuwait,1991,Livestock,89451,0.837540495496339,3
Kuwait,1991,Fisheries,7080.867352791,0.644614963944433,1
Kuwait,2001,Aquaculture,9,0.0441176470588235,1
Lesotho,2001,Fisheries,6,0.2,1
Lesotho,2006,Aquaculture,2.5,0.555555555555556,1
Liberia,1995,Crops,136526,0.208784722009824,1
Liberia,1995,Fisheries,4335.824249905,0.192759816957705,4
Libya,1971,Crops,10307,0.0208169654127746,1
Libya,1977,Crops,60112,0.0580746820780209,1
Libya,1985,Livestock,6575,0.0255092143549952,1
Madagascar,2009,Aquaculture,697.5,0.0669803620300571,1
Madagascar,2013,Crops,484817,0.042180663854083,2
Malawi,2002,Livestock,16665,0.18979340819534,2
Malawi,2005,Crops,1600136,0.170718959129621,1
Malaysia,2006,Fisheries,1635.81569312979,0.00100875645964871,1
Maldives,1990,Crops,16743,0.474158194330379,NA
Maldives,2005,Livestock,200,0.222222222222222,NA
Maldives,2006,Livestock,144,0.162162162162162,NA
Maldives,2007,Fisheries,15707.751215151,0.0754693445810666,NA
Mali,2011,Livestock,15783,0.00848586254117789,1
Mali,2012,Aquaculture,21,0.0208333333333334,1
Mali,2013,Livestock,89793,0.0482779607907234,2
Mali,2013,Crops,484899,0.0410599466295802,2
Malta,2005,Aquaculture,499,0.404048582995951,1
Martinique,1995,Aquaculture,20,0.206185567010309,8
Mauritania,1974,Livestock,70845,0.256113167712641,4
Mauritius,1978,Livestock,5593,0.214127105666156,11
Mayotte,2004,Fisheries,803.223171403,0.245526656104891,NA
Mexico,1989,Livestock,1627163,0.159826179184426,2
Mexico,2010,Aquaculture,13743.252,0.0982150164354739,1
Mongolia,2001,Livestock,50505,0.082620360221826,3
Mongolia,2010,Livestock,83518,0.140118177212132,1
Montserrat,1988,Fisheries,56.394931524,0.446215140976907,3
Montserrat,1992,Fisheries,103.728295044,0.814250021837515,NA
Montserrat,2006,Livestock,665,0.207229666562792,NA
Morocco,2000,Aquaculture,195.5,0.0937874790117534,5
Morocco,2006,Aquaculture,557,0.324214202561118,1
Namibia,1998,Crops,16707,0.0384344633392226,1
Nauru,1976,Livestock,2,0.0588235294117647,2
Nauru,1977,Livestock,2,0.0588235294117647,1
Nauru,2007,Crops,272,0.255399061032864,NA
Nauru,2008,Crops,234,0.219718309859155,NA
Netherlands Antilles,2011,Fisheries,0.5,1,NA
New Caledonia,1983,Fisheries,2209.095880618,0.562361310347365,1
New Zealand,1996,Fisheries,5509.09023915499,0.0124558794137009,1
Nicaragua,1980,Livestock,299828,0.554892797986434,19
Niger,1984,Livestock,52170,0.108434936959332,6
Nigeria,2009,Crops,21555081,0.133515662619855,1
Nigeria,2011,Livestock,162689,0.0911716659428107,1
Niue,1990,Crops,1217,0.243302678928429,6
Niue,2009,Fisheries,9.397219917,0.0429387372680097,NA
Norway,1976,Crops,288148,0.105793243724506,1
Norway,2000,Livestock,162861,0.0748669517716549,NA
Pakistan,2000,Aquaculture,2363,0.159146012931034,1
Pakistan,2002,Crops,199835,0.00456386730744507,1
Palau,1984,Fisheries,8151.411556823,0.807223348400719,23
Palau,2013,Aquaculture,3.685,0.156276505513147,NA
Panama,1999,Aquaculture,3175.5,0.577048882427767,4
Panama,2000,Aquaculture,3723.5,0.676630928584409,3
Paraguay,2000,Livestock,38383,0.0483046250769252,2
Paraguay,2009,Crops,485042,0.0516867275501355,1
Peru,1990,Crops,846197,0.098866281769902,1
Philippines,2011,Fisheries,174619.74373397,0.0505039892751068,NA
Philippines,2013,Aquaculture,104006.44,0.0419822222433196,2
Pitcairn Islands,1999,Fisheries,3.01064563,0.352990162929398,NA
Poland,1993,Aquaculture,7342,0.282917806635582,2
Republic of Korea,1980,Crops,2202191,0.101748005724931,1
Réunion,1996,Aquaculture,19,0.791666666666667,1
Romania,1990,Fisheries,133690.022634762,0.520633287655327,NA
Réunion,2007,Fisheries,1,0.5,NA
Saint Kitts and Nevis,1990,Crops,598,0.17134670487106,1
Saint Kitts and Nevis,2006,Livestock,228,0.422222222222222,NA
Saint Kitts and Nevis,2007,Livestock,195,0.36178107606679,NA
Saint Lucia,1979,Fisheries,1904.802913551,0.597104656841694,5
Saint Lucia,2000,Aquaculture,10,0.869565217391304,1
Saint Vincent and the Grenadines,2003,Livestock,368,0.13824192336589,4
Saint Vincent and the Grenadines,2005,Livestock,487,0.182945154019534,2
Saint Vincent/Grenadines,2003,Fisheries,12010.9062004836,0.451549557268208,NA
Samoa,1984,Fisheries,6229.257483253,0.538944525697135,1
Samoa,2006,Aquaculture,0.5,1,1
Sao Tome and Principe,2011,Livestock,131,0.109531772575251,NA
Saudi Arabia,1995,Crops,371562,0.0470958079430209,9
Saudi Arabia,2011,Aquaculture,2334.4,0.126797896840916,NA
Saudi Arabia,2013,Aquaculture,9144.4,0.496697518793725,NA
Seychelles,2002,Livestock,821,0.33469221361598,NA
Seychelles,2007,Fisheries,15808.656178091,0.159050490443081,2
Singapore,1999,Livestock,44411,0.258235017066037,NA
Singapore,2007,Aquaculture,609,0.119131455399061,6
Solomon Islands,2005,Fisheries,39404.704215701,0.316446932456098,1
Somalia,1991,Crops,673387,0.438003772603096,NA
Somalia,1992,Livestock,739565,0.294429813822852,4
Somalia,1994,Livestock,82959,0.0345865119315732,1
South Africa,1970,Fisheries,151399.66315964,0.0912221117579829,3
South Africa,2001,Aquaculture,1318,0.317743490838959,1
Spain,1993,Aquaculture,98841,0.439349960661596,2
Sri Lanka,1986,Livestock,98183,0.322267554642342,4
Sri Lanka,1998,Livestock,132611,0.351622739566209,14
Sri Lanka,2005,Fisheries,80016.096171843,0.222793532322366,1
St Helena,2012,Fisheries,198.356841184,0.215906155606109,NA
St. Pierre and Miquelon,1993,Fisheries,25072.44331801,0.9876790860741,NA
Suriname,2009,Fisheries,4956.325828332,0.137254572475191,1
Switzerland,1982,Fisheries,1383,0.503825136612022,NA
Syrian Arab Republic,1989,Crops,2443833,0.299634565527777,1
Syrian Arab Republic,2008,Fisheries,1825.426167549,0.155897752407654,NA
"Tanzania, United Rep. of",2008,Fisheries,23206.057215921,0.0544551964900258,1
Timor-Leste,1997,Livestock,469,0.0151524941845438,1
Timor-Leste,2011,Crops,96394,0.232419190725801,2
Togo,1995,Aquaculture,2,0.0909090909090909,1
Togo,2013,Crops,117639,0.0299597358508826,2
Tokelau,1994,Crops,101,0.291907514450867,10
Tokelau,2006,Crops,8,0.027681660899654,2
Tonga,1997,Livestock,17,0.00741386829481028,1
Tonga,2007,Aquaculture,64.5,0.921428571428571,1
Tonga,2013,Aquaculture,300.16,0.999866755496336,NA
Trinidad and Tobago,2003,Aquaculture,6,0.461538461538462,1
Turkey,1989,Fisheries,122755.15129693,0.172236964293316,4
Turkey,2002,Livestock,1545816,0.136437656544659,1
Turks and Caicos Is.,1987,Fisheries,1466.889266507,0.286863606776503,1
United Kingdom,1976,Crops,7054926,0.188331614260988,1
United Republic of Tanzania,2003,Crops,624231,0.0340113841488232,1
United States of America,2010,Fisheries,978894.51555094,0.170500699152496,1
Uruguay,2001,Aquaculture,8.5,0.515151515151515,2
US Virgin Islands,1988,Aquaculture,5.5,0.916666666666667,18
US Virgin Islands,2007,Fisheries,342.982984543,0.184347635925079,NA
Vanuatu,1995,Crops,3273,0.052368,1
Venezuela (Bolivarian Republic of),2004,Livestock,69910,0.0255434047886119,1
Venezuela (Bolivarian Republic of),2009,Crops,306179,0.0255789856309258,2
"Venezuela, Boliv Rep of",2005,Fisheries,106956.038665679,0.183638215946479,NA
"Venezuela, Boliv Rep of",2009,Aquaculture,4384,0.228000832119825,2
"Venezuela, Boliv Rep of",2010,Aquaculture,1002.67,0.0521463490742666,1
Viet Nam,1974,Fisheries,158669.1362627,0.200639260759025,9
Wallis and Futuna Islands,1977,Livestock,4,0.0181818181818182,1
Wallis and Futuna Islands,2006,Crops,2009,0.105321100917431,7
Zambia,1995,Livestock,6962,0.0348387419621188,3
Zimbabwe,2002,Livestock,29439,0.0459516242827619,1
